;Tau Min;MAE Max;RMSE Max;;;
oregon1_010526:;0.967362063304345;0.000030605647119968;0.000162002301234643;;;
oregon1_010526:;0.975902213308581;0.0000196084189609251;0.00010493342884062;;;
oregon1_010526:;0.983114090293299;0.0000133167486795078;0.0000723011715978707;;;
oregon1_010526:;0.990467681824988;0.00000761989651098211;0.0000394648841783675;;;
oregon1_010526:;0.67468633227635;0.000233510460856176;0.00408120386885637;;;
oregon1_010526:;0.97121953784813;0.000228229949265512;0.00398568311793827;;;
oregon1_010526:;0.0465985017865368;0.000233150601485823;0.00405908101240502;;;
oregon1_010526:;0.339917475443403;0.000228544754353229;0.0039856292561395;;;
oregon1_010526:;0.141126498574511;0.000225276857926103;0.00391770713853374;;;
oregon1_010526:;0.869456942276092;0.000219293282916561;0.0038296195879416;;;
oregon1_010526:;0.0660110655083775;0.000231085465328323;0.00404608399853508;;;
oregon1_010526:;0.067871874442917;0.000232114478749887;0.00402493747207393;;;
mol_yeast_spliceosome:;0.753199551150676;0.00155898448546508;0.00464843473178942;;;
mol_yeast_spliceosome:;0.827095470323353;0.000824104623325733;0.00196452131851895;;;
mol_yeast_spliceosome:;0.85464333781965;0.000634368033075035;0.00133922017716041;;;
mol_yeast_spliceosome:;0.891559315516247;0.000377621196670134;0.00102268091353704;;;
mol_yeast_spliceosome:;0.0360224407272171;0.00721480366636816;0.01518972137431;;;
mol_yeast_spliceosome:;0.0856409249558634;0.00611157793136608;0.0123672949683828;;;
mol_yeast_spliceosome:;0.0158470533531269;0.00663484698594891;0.0134662555812959;;;
mol_yeast_spliceosome:;0.0850533664728272;0.00599081886689275;0.0121311216405277;;;
mol_yeast_spliceosome:;0.465382525701919;0.00367583445156406;0.00681474618724609;;;
mol_yeast_spliceosome:;0.996065158602771;0.00225574349335089;0.00387263348469638;;;
mol_yeast_spliceosome:;0.0446590182627102;0.00712049740483885;0.0131112070743288;;;
mol_yeast_spliceosome:;0.00678218116290214;0.00644277972824833;0.01329511977519;;;
email-Eu-core:;0.8909020049909132;0.000349359461139468;0.000924722649952214;;;
email-Eu-core:;0.923004636200869;0.000218858154842148;0.000533336416684714;;;
email-Eu-core:;0.947428377759595;0.000148218329235287;0.00041116771832297;;;
email-Eu-core:;0.967761975176576;0.0000915788542213212;0.000265582699006163;;;
email-Eu-core:;0.810171900605444;0.0007277095401015;0.00241144391246499;;;
email-Eu-core:;0.863130069883226;0.00036518924939399;0.00118407501920403;;;
email-Eu-core:;0.46195681296649;0.00114979819483336;0.00308089942733901;;;
email-Eu-core:;0.828589274260878;0.000395241025636697;0.00119496491022605;;;
email-Eu-core:;0.655855535772358;0.00201202676487926;0.00650123820371847;;;
email-Eu-core:;0.864364200661072;0.00187821326747725;0.00585493105838528;;;
email-Eu-core:;0.459280968862268;0.00119345031454674;0.00293523479437566;;;
email-Eu-core:;0.542090746342859;0.000934222674046111;0.00226584569176075;;;
bio-CE-CX:;0.866808349820435;0.0000100370346907018;0.0000248123904149325;;;
bio-CE-CX:;0.906309143549342;0.00000645782797219551;0.0000153707383680199;;;
bio-CE-CX:;0.936123170371786;0.00000427015383571691;0.0000101997263297611;;;
bio-CE-CX:;0.966373291319116;0.00000254663868136708;0.00000641599821601665;;;
bio-CE-CX:;0.545067479770082;0.000168402855283145;0.000599986887354293;;;
bio-CE-CX:;0.584122111679259;0.000148992051473454;0.000289650232975891;;;
bio-CE-CX:;0.267367890910695;0.000205088153962695;0.000574618447625654;;;
bio-CE-CX:;0.40776620745747;0.000172646376573946;0.000377822858722435;;;
bio-CE-CX:;0.322445903704236;0.000366207020338945;0.00100914562789953;;;
bio-CE-CX:;0.592813776536102;0.000343275105323032;0.000697554431134327;;;
bio-CE-CX:;0.142943662327865;0.000233883587750873;0.00106561102230007;;;
bio-CE-CX:;0.320905091182899;0.000190366087973544;0.000477502897343381;;;
yeastinter_st:;0.391997605849971;0.00000299863874376122;0.0000268061507872837;;;
yeastinter_st:;0.618514218556311;0.00000182307145424473;0.0000150115808989764;;;
yeastinter_st:;0.72613283288886;0.00000117049689157083;0.00000916590726985968;;;
yeastinter_st:;0.923366246084345;0.00000106996396397706;0.00000950300305918272;;;
yeastinter_st:;0.239661101109521;0.00610575792867017;0.0196839385849718;;;
yeastinter_st:;0.248116699711656;0.00566318233851678;0.0182242041556722;;;
yeastinter_st:;0.225886996465519;0.00579074053858472;0.0187622323607834;;;
yeastinter_st:;0.249351508067373;0.00564602619028582;0.0181733693264137;;;
yeastinter_st:;0.250392585832174;0.0114556567734746;0.0373033265047634;;;
yeastinter_st:;0.247521378302021;0.0117058121746377;0.0376489876773669;;;
yeastinter_st:;0.234659017972076;0.00586858131416145;0.0187354377292723;;;
yeastinter_st:;0.246401786935592;0.00572157625764121;0.0185946726930039;;;
p2p-Gnutella24:;0.973379293577149;0.0000105192139373584;0.0000333485525860618;;;
p2p-Gnutella24:;0.981591577630515;0.0000067494808121541;0.0000206675690404077;;;
p2p-Gnutella24:;0.988036591842248;0.00000432361634850258;0.0000131038714073525;;;
p2p-Gnutella24:;0.993160129541384;0.00000270412372715488;0.000008697489243601;;;
p2p-Gnutella24:;0.643909134861059;0.000122181949346988;0.00150656914319905;;;
p2p-Gnutella24:;0.661264475442787;0.000109377687136265;0.00122966920349588;;;
p2p-Gnutella24:;0.288337462954743;0.00020518144960444;0.00148242390664823;;;
p2p-Gnutella24:;0.504337623620755;0.000161926081663856;0.001401933446045;;;
p2p-Gnutella24:;0.509948181155578;0.000325375896412182;0.00278810064491322;;;
p2p-Gnutella24:;0.663903636305254;0.000290908814725845;0.0025888857569142;;;
p2p-Gnutella24:;0.288672526911908;0.000204416161873142;0.00151259403905883;;;
p2p-Gnutella24:;0.367007462602949;0.000189668422246585;0.00150071486335168;;;
mc_mullen:;0.885827720665478;0.00357067241549265;0.0112975977992156;;;
mc_mullen:;0.933585428494438;0.00232658607627934;0.00720019727029618;;;
mc_mullen:;0.957501943508681;0.00130507088882209;0.00439221533261737;;;
mc_mullen:;0.969940399067116;0.000794953428942016;0.00244386661937388;;;
mc_mullen:;0.932019009990253;0.0019652339722288;0.00576136462587712;;;
mc_mullen:;0.994817310183985;0.000130595889196309;0.000503818816722677;;;
mc_mullen:;0.702327085167395;0.00241809049852033;0.00603968840005195;;;
mc_mullen:;0.98497412631796;0.000421475436463975;0.0021718407141982;;;
mc_mullen:;0.918134250979249;0.0129310345304191;0.0778356285134226;;;
mc_mullen:;0.999352792631705;0.0129098454078469;0.0799390813819292;;;
mc_mullen:;0.707849270741824;0.00216451778844602;0.00537355924881546;;;
mc_mullen:;0.791280290103948;0.00163726357165321;0.00535344712962285;;;
USairport500:;0.910936590932282;0.000908680852598801;0.0037853901628954;;;
USairport500:;0.939419577067689;0.000634037556929737;0.0025003240875144;;;
USairport500:;0.962471800041973;0.000402636848264448;0.00161398359673878;;;
USairport500:;0.976845851168485;0.000203374890278935;0.000871878806437177;;;
USairport500:;0.54467860177282;0.0121308400994049;0.0502742501789594;;;
USairport500:;0.564950835847395;0.0106747320390296;0.0443981425511934;;;
USairport500:;0.535384703309069;0.0111236039411756;0.0451897070954977;;;
USairport500:;0.560612632788451;0.0105825675204434;0.0441064539348777;;;
USairport500:;0.663490332580569;0.00422049323986717;0.0184938913740565;;;
USairport500:;0.997813473238109;0.00407208872426142;0.0180044043363341;;;
USairport500:;0.531188032996308;0.0108976139128965;0.0445400297878695;;;
USairport500:;0.549158353389241;0.0109615302678435;0.0455262407899798;;;