Exact_Brandes_NetworkX,../../Data/bio-CE-CX.edges,400.10647797584534,NetworkX_Results/07-12-2023_networkx_exact.json,
Approximation_Brandes_NetworkX_20_0,../../Data/bio-CE-CX.edges,78.46440291404724,NetworkX_Results/07-12-2023_networkx_approximation_20_0.json,9.845337461846685e-06,2.3885924423419963e-05
Approximation_Brandes_NetworkX_20_1,../../Data/bio-CE-CX.edges,82.39620471000671,NetworkX_Results/07-12-2023_networkx_approximation_20_1.json,9.919138812043773e-06,2.4600617567931216e-05
Approximation_Brandes_NetworkX_20_2,../../Data/bio-CE-CX.edges,87.40083026885986,NetworkX_Results/07-12-2023_networkx_approximation_20_2.json,1.0037034690701762e-05,2.466219748278473e-05
Approximation_Brandes_NetworkX_20_3,../../Data/bio-CE-CX.edges,84.35419654846191,NetworkX_Results/07-12-2023_networkx_approximation_20_3.json,9.953404142213086e-06,2.4812390414932505e-05
Approximation_Brandes_NetworkX_20_4,../../Data/bio-CE-CX.edges,83.94181323051453,NetworkX_Results/07-12-2023_networkx_approximation_20_4.json,9.800953497826965e-06,2.398888564748857e-05
Approximation_Brandes_NetworkX_20_5,../../Data/bio-CE-CX.edges,83.70038843154907,NetworkX_Results/07-12-2023_networkx_approximation_20_5.json,9.850227969456194e-06,2.422565841827722e-05
Approximation_Brandes_NetworkX_20_6,../../Data/bio-CE-CX.edges,86.4003312587738,NetworkX_Results/07-12-2023_networkx_approximation_20_6.json,9.875672256799396e-06,2.3914329385764986e-05
Approximation_Brandes_NetworkX_20_7,../../Data/bio-CE-CX.edges,84.02050113677979,NetworkX_Results/07-12-2023_networkx_approximation_20_7.json,9.790500474807028e-06,2.4203450937289993e-05
Approximation_Brandes_NetworkX_20_8,../../Data/bio-CE-CX.edges,83.79554557800293,NetworkX_Results/07-12-2023_networkx_approximation_20_8.json,9.597821700840142e-06,2.3738894895532405e-05
Approximation_Brandes_NetworkX_20_9,../../Data/bio-CE-CX.edges,82.66046071052551,NetworkX_Results/07-12-2023_networkx_approximation_20_9.json,9.768702517598067e-06,2.3884548055017537e-05
Approximation_Brandes_NetworkX_40_0,../../Data/bio-CE-CX.edges,162.9582359790802,NetworkX_Results/07-12-2023_networkx_approximation_40_0.json,6.177392414719386e-06,1.449250667184595e-05
Approximation_Brandes_NetworkX_40_1,../../Data/bio-CE-CX.edges,165.93618059158325,NetworkX_Results/07-12-2023_networkx_approximation_40_1.json,6.399203148966219e-06,1.527742875686675e-05
Approximation_Brandes_NetworkX_40_2,../../Data/bio-CE-CX.edges,167.76587104797363,NetworkX_Results/07-12-2023_networkx_approximation_40_2.json,6.348563010804087e-06,1.5035556847595767e-05
Approximation_Brandes_NetworkX_40_3,../../Data/bio-CE-CX.edges,165.73265957832336,NetworkX_Results/07-12-2023_networkx_approximation_40_3.json,6.414322436313563e-06,1.537073836801988e-05
Approximation_Brandes_NetworkX_40_4,../../Data/bio-CE-CX.edges,163.70199847221375,NetworkX_Results/07-12-2023_networkx_approximation_40_4.json,6.195932531092936e-06,1.4778833419130407e-05
Approximation_Brandes_NetworkX_40_5,../../Data/bio-CE-CX.edges,166.57357907295227,NetworkX_Results/07-12-2023_networkx_approximation_40_5.json,6.457827972195511e-06,1.5252443986775581e-05
Approximation_Brandes_NetworkX_40_6,../../Data/bio-CE-CX.edges,164.27150344848633,NetworkX_Results/07-12-2023_networkx_approximation_40_6.json,6.2543826075004185e-06,1.472940527302435e-05
Approximation_Brandes_NetworkX_40_7,../../Data/bio-CE-CX.edges,162.56091499328613,NetworkX_Results/07-12-2023_networkx_approximation_40_7.json,6.200607417744037e-06,1.4635424212581881e-05
Approximation_Brandes_NetworkX_40_8,../../Data/bio-CE-CX.edges,161.30988025665283,NetworkX_Results/07-12-2023_networkx_approximation_40_8.json,6.25836928532367e-06,1.4628485964063832e-05
Approximation_Brandes_NetworkX_40_9,../../Data/bio-CE-CX.edges,159.31733345985413,NetworkX_Results/07-12-2023_networkx_approximation_40_9.json,6.276665187647137e-06,1.4831255040620961e-05
Approximation_Brandes_NetworkX_60_0,../../Data/bio-CE-CX.edges,255.44739270210266,NetworkX_Results/07-12-2023_networkx_approximation_60_0.json,4.249974205364468e-06,1.0199726329761074e-05
Approximation_Brandes_NetworkX_60_1,../../Data/bio-CE-CX.edges,247.6187105178833,NetworkX_Results/07-12-2023_networkx_approximation_60_1.json,4.270153835716909e-06,1.0171926974658711e-05
Approximation_Brandes_NetworkX_60_2,../../Data/bio-CE-CX.edges,238.31388306617737,NetworkX_Results/07-12-2023_networkx_approximation_60_2.json,4.229984486578189e-06,9.904193878975037e-06
Approximation_Brandes_NetworkX_60_3,../../Data/bio-CE-CX.edges,238.75328540802002,NetworkX_Results/07-12-2023_networkx_approximation_60_3.json,4.2284028035879935e-06,9.976367900431781e-06
Approximation_Brandes_NetworkX_60_4,../../Data/bio-CE-CX.edges,235.8951563835144,NetworkX_Results/07-12-2023_networkx_approximation_60_4.json,4.173955571807842e-06,9.859913353025009e-06
Approximation_Brandes_NetworkX_60_5,../../Data/bio-CE-CX.edges,218.02290773391724,NetworkX_Results/07-12-2023_networkx_approximation_60_5.json,4.168869990987472e-06,9.88567450304358e-06
Approximation_Brandes_NetworkX_60_6,../../Data/bio-CE-CX.edges,202.4161434173584,NetworkX_Results/07-12-2023_networkx_approximation_60_6.json,4.2507785852198116e-06,1.0052819224738163e-05
Approximation_Brandes_NetworkX_60_7,../../Data/bio-CE-CX.edges,210.16249418258667,NetworkX_Results/07-12-2023_networkx_approximation_60_7.json,4.208321445995024e-06,9.912354681767108e-06
Approximation_Brandes_NetworkX_60_8,../../Data/bio-CE-CX.edges,208.52401471138,NetworkX_Results/07-12-2023_networkx_approximation_60_8.json,4.244105023324606e-06,1.0187622316579874e-05
Approximation_Brandes_NetworkX_60_9,../../Data/bio-CE-CX.edges,210.00195169448853,NetworkX_Results/07-12-2023_networkx_approximation_60_9.json,4.180855420492605e-06,9.794008054008676e-06
Approximation_Brandes_NetworkX_80_0,../../Data/bio-CE-CX.edges,278.72109150886536,NetworkX_Results/07-12-2023_networkx_approximation_80_0.json,2.5266422786606174e-06,6.067041708179506e-06
Approximation_Brandes_NetworkX_80_1,../../Data/bio-CE-CX.edges,279.41907954216003,NetworkX_Results/07-12-2023_networkx_approximation_80_1.json,2.455386045998736e-06,5.96827617914688e-06
Approximation_Brandes_NetworkX_80_2,../../Data/bio-CE-CX.edges,277.7916450500488,NetworkX_Results/07-12-2023_networkx_approximation_80_2.json,2.510375204162936e-06,6.19680229003752e-06
Approximation_Brandes_NetworkX_80_3,../../Data/bio-CE-CX.edges,275.48076343536377,NetworkX_Results/07-12-2023_networkx_approximation_80_3.json,2.4500705068150846e-06,5.897173585108071e-06
Approximation_Brandes_NetworkX_80_4,../../Data/bio-CE-CX.edges,274.5278263092041,NetworkX_Results/07-12-2023_networkx_approximation_80_4.json,2.4658483978734298e-06,6.05460315861756e-06
Approximation_Brandes_NetworkX_80_5,../../Data/bio-CE-CX.edges,274.17195224761963,NetworkX_Results/07-12-2023_networkx_approximation_80_5.json,2.4499069631062255e-06,6.104768835229427e-06
Approximation_Brandes_NetworkX_80_6,../../Data/bio-CE-CX.edges,274.34062242507935,NetworkX_Results/07-12-2023_networkx_approximation_80_6.json,2.4460155493604052e-06,5.974446672184596e-06
Approximation_Brandes_NetworkX_80_7,../../Data/bio-CE-CX.edges,260.534588098526,NetworkX_Results/07-12-2023_networkx_approximation_80_7.json,2.546638681367077e-06,6.415998216016653e-06
Approximation_Brandes_NetworkX_80_8,../../Data/bio-CE-CX.edges,275.39465856552124,NetworkX_Results/07-12-2023_networkx_approximation_80_8.json,2.498133777259253e-06,6.15088092316909e-06
Approximation_Brandes_NetworkX_80_9,../../Data/bio-CE-CX.edges,274.52783036231995,NetworkX_Results/07-12-2023_networkx_approximation_80_9.json,2.4949595031021077e-06,6.139531858114512e-06
